Provisional Results 2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
BSc Computer Science (Year 3),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Results are overall module results; these are provisional until verified by the UCL Board of Examiners. ,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,1.0,0.5,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3058,COMP3091,COMP6010,,,,MSIN3G07,MSIN7017,,,Award Mark,65.51,,,,
NLWV2,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,60,73,63,60,63,,,,65,67,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,RS,Credit Passed,N/A,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3058,COMP3091,,,,COMP312P,COMP313P,,Resit in following year,Award Mark,N/A,,,,
RVNC6,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,0,0,40,0,0,,,,56,72,,,Classification,N/A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,1.0,0.5,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3058,COMP3091,COMPM056,,,,MSIN3017,MSIN3G23,,,Award Mark,61.01,,,,
NNPV7,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,58,67,47,58,55,,,,44,59,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3058,COMP3091,,,,COMP312P,COMP313P,,,Award Mark,58.01,,,,
PRKN4,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,15,81,43,54,61,,,,61,63,,,Classification,2B,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,13,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3058,COMP3091,,,,ELEC310P,ELEC311P,,,Award Mark,73.91,,,,
